match_api_id,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
1024563,2,0.1,0.09375,0.1927710843373494,0.10126582278481013,0.875,0.75,1,3,1,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,-0.75,0.125,0.125,0.125,-10
1024581,1,0.09,0.13541666666666666,0.04819277108433735,0.1518987341772152,1.875,1.625,3,3,0,0,3,0,3,3,3,3,0,0,0,0,1,0,0,0,0.625,0.125,0.25,-0.25,14
1024605,2,0.05,0.0625,0.12048192771084337,0.12658227848101267,0.625,0.875,0,0,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.625,-0.5,-0.25,0.5,3
1024627,0,0.09,0.052083333333333336,0.060240963855421686,0.12658227848101267,1.375,0.625,3,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0.5,-0.625,0.75,0.25,-12
1024635,0,0.12,0.10416666666666667,0.26506024096385544,0.12658227848101267,0.6666666666666666,0.6666666666666666,3,1,1,1,1,1,0,1,3,1,0,0,1,0,0,0,0,0,-1.1111111111111112,0.0,0.0,-0.1111111111111111,1
1024644,1,0.11,0.10416666666666667,0.10843373493975904,0.13924050632911392,1.5555555555555556,1.2222222222222223,0,3,3,1,1,3,1,3,3,1,0,0,0,0,0,0,0,0,0.2222222222222222,-0.1111111111111111,0.3333333333333333,-0.2222222222222222,-11
1024654,2,0.11,0.0625,0.07228915662650602,0.17721518987341772,1.7777777777777777,0.5555555555555556,0,3,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0.5555555555555556,-0.8888888888888888,1.2222222222222223,1.0,2
1024662,1,0.06,0.07291666666666667,0.14457831325301204,0.1518987341772152,0.7777777777777778,0.8888888888888888,1,1,1,1,1,1,3,1,3,1,0,0,1,1,0,0,0,0,-0.6666666666666666,-0.5555555555555556,-0.1111111111111111,-0.6666666666666666,-3
1024614,2,0.12,0.0625,0.20481927710843373,0.10126582278481013,1.1111111111111112,1.3333333333333333,3,1,3,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.2222222222222222,-0.2222222222222222,0.2222222222222222,-8
1024632,0,0.09,0.15625,0.21686746987951808,0.16455696202531644,0.5555555555555556,1.7777777777777777,0,1,1,3,0,3,0,3,3,3,0,0,0,0,1,0,0,0,-1.0,0.2222222222222222,-1.2222222222222223,-0.8888888888888888,6
1024638,0,0.1,0.10416666666666667,0.10843373493975904,0.1518987341772152,0.7777777777777778,1.1111111111111112,1,3,0,0,0,3,1,1,1,3,0,0,0,0,0,0,0,0,0.1111111111111111,-0.2222222222222222,-0.3333333333333333,0.0,4
1024649,0,0.25,0.28125,0.07228915662650602,0.0759493670886076,2.2222222222222223,2.4444444444444446,0,3,0,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,2.111111111111111,2.3333333333333335,-0.2222222222222222,-0.2222222222222222,-3
1024658,2,0.06,0.20833333333333334,0.1686746987951807,0.11392405063291139,1.0,2.111111111111111,0,1,0,3,0,3,3,3,1,3,0,0,0,0,0,0,0,0,-0.8888888888888888,1.2222222222222223,-1.1111111111111112,-0.6666666666666666,17
1024671,0,0.2,0.125,0.10843373493975904,0.21518987341772153,2.111111111111111,1.1111111111111112,3,3,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,1.2222222222222223,-0.5555555555555556,1.0,0.3333333333333333,-2
1024675,0,0.1,0.2708333333333333,0.1566265060240964,0.1518987341772152,1.0,2.0,1,3,1,1,1,1,0,3,0,3,0,0,1,0,0,0,0,0,-0.3,1.4,-1.0,-0.5,6
1024682,2,0.33,0.08333333333333333,0.08433734939759036,0.17721518987341772,2.5,0.8,3,3,3,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,2.6,-0.6,1.7,1.2,-10
1024686,1,0.11,0.10416666666666667,0.14457831325301204,0.25316455696202533,1.2,0.5,0,3,1,3,3,1,0,1,1,3,0,0,0,0,0,0,0,0,-0.1,-1.0,0.7,0.6,8
1024695,1,0.12,0.11458333333333333,0.12048192771084337,0.13924050632911392,0.9,1.1,3,1,0,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0.2,0.0,-0.2,0.2,7
1024700,2,0.09,0.125,0.1686746987951807,0.3037974683544304,0.9,0.6,0,1,3,1,3,1,3,1,1,1,0,0,0,0,0,0,1,0,-0.5,-1.2,0.3,0.4,4
1024712,0,0.09,0.125,0.13253012048192772,0.12658227848101267,1.1,1.5,3,3,0,0,1,0,0,3,3,1,0,0,0,0,0,0,0,0,-0.2,0.2,-0.4,0.0,11
1024718,0,0.06,0.11458333333333333,0.18072289156626506,0.1518987341772152,0.5,0.7,1,1,1,1,1,1,1,3,0,0,0,0,1,1,0,0,0,0,-0.9,-0.1,-0.2,-0.5,4
1024707,2,0.18,0.07291666666666667,0.1686746987951807,0.17721518987341772,1.9,1.2,3,3,0,3,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0.4,-0.7,0.7,0.5,-14
1024692,0,0.07,0.125,0.13253012048192772,0.0759493670886076,1.2,1.9,1,3,1,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0,-0.4,0.6,-0.7,-0.7,-7
1024726,2,0.15,0.09375,0.21686746987951808,0.13924050632911392,1.3,1.1,3,3,1,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,-0.3,-0.2,0.2,0.1,-15
1024733,2,0.13,0.14583333333333334,0.1566265060240964,0.189873417721519,1.0909090909090908,1.1818181818181819,0,1,1,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0.0,-0.09090909090909091,-0.09090909090909091,-0.2727272727272727,-12
