FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0,0.03418803418803419,0.02608695652173913,0.0641025641025641,0.1038961038961039,0.8333333333333334,0.8333333333333334,1,3,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,-0.16666666666666666,-0.8333333333333334,0.0,0.0,0
1,0.1282051282051282,0.05217391304347826,0.08974358974358974,0.1038961038961039,2.0,0.8571428571428571,0,3,3,0,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1.1428571428571428,-0.2857142857142857,1.1428571428571428,0.7142857142857143,-7
1,0.03418803418803419,0.09565217391304348,0.15384615384615385,0.07792207792207792,0.42857142857142855,1.5714285714285714,1,1,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,-1.1428571428571428,0.7142857142857143,-1.1428571428571428,-1.0,-1
2,0.0,0.043478260869565216,0.038461538461538464,0.05194805194805195,0.42857142857142855,0.8571428571428571,0,1,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,-0.42857142857142855,0.14285714285714285,-0.42857142857142855,-0.42857142857142855,-3
0,0.05128205128205128,0.043478260869565216,0.1794871794871795,0.09090909090909091,1.2857142857142858,0.7142857142857143,1,3,3,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,-1.1428571428571428,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-8
2,0.042735042735042736,0.09565217391304348,0.1282051282051282,0.09090909090909091,0.7142857142857143,2.142857142857143,3,1,1,0,1,3,1,3,3,3,0,0,0,0,1,0,0,0,-0.7142857142857143,0.5714285714285714,-1.4285714285714286,-1.1428571428571428,4
0,0.05128205128205128,0.06956521739130435,0.08974358974358974,0.07792207792207792,0.7142857142857143,1.2857142857142858,1,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,-0.14285714285714285,0.2857142857142857,-0.5714285714285714,-0.14285714285714285,0
2,0.042735042735042736,0.02608695652173913,0.11538461538461539,0.025974025974025976,0.5714285714285714,1.2857142857142858,0,1,1,3,1,3,1,0,3,0,0,0,0,0,0,0,0,0,-0.5714285714285714,0.14285714285714285,-0.7142857142857143,-0.5714285714285714,3
1,0.07692307692307693,0.12173913043478261,0.038461538461538464,0.012987012987012988,1.7142857142857142,2.0,1,3,3,1,3,0,3,3,3,3,0,0,0,0,1,0,0,0,0.8571428571428571,1.8571428571428572,-0.2857142857142857,-0.5714285714285714,1
2,0.042735042735042736,0.10434782608695652,0.15384615384615385,0.05194805194805195,0.42857142857142855,2.2857142857142856,1,0,1,0,0,3,3,3,3,3,0,0,0,0,1,1,0,0,-1.0,1.1428571428571428,-1.8571428571428572,-1.7142857142857142,8
0,0.05128205128205128,0.043478260869565216,0.1282051282051282,0.11688311688311688,1.0,1.1428571428571428,1,3,3,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.5714285714285714,-0.14285714285714285,-0.14285714285714285,-7
2,0.10256410256410256,0.05217391304347826,0.11538461538461539,0.15584415584415584,1.875,0.875,1,3,1,3,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0.375,-0.75,1.0,0.375,-10
0,0.05982905982905983,0.06086956521739131,0.11538461538461539,0.2077922077922078,1.375,1.125,3,3,1,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,-0.25,-1.125,0.25,0.5,8
2,0.1282051282051282,0.05217391304347826,0.02564102564102564,0.15584415584415584,1.875,0.75,0,0,3,3,3,3,1,0,1,0,1,0,0,0,0,0,0,0,1.625,-0.75,1.125,0.75,-12
1,0.08547008547008547,0.06086956521739131,0.07692307692307693,0.14285714285714285,1.5,1.0,3,0,0,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0.5,-0.5,0.5,-0.125,13
2,0.03418803418803419,0.02608695652173913,0.0641025641025641,0.05194805194805195,1.125,0.75,1,3,1,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,-0.125,-0.125,0.375,0.25,-5
2,0.05128205128205128,0.05217391304347826,0.10256410256410256,0.11688311688311688,0.875,0.625,0,3,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,-0.25,-0.375,0.25,0.375,-3
1,0.10256410256410256,0.06956521739130435,0.08974358974358974,0.12987012987012986,1.5,0.875,0,3,3,1,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0.625,-0.25,0.625,0.375,11
0,0.05128205128205128,0.08695652173913043,0.08974358974358974,0.05194805194805195,0.75,1.625,1,0,3,1,1,0,1,3,3,1,0,0,0,0,0,0,0,0,-0.125,0.75,-0.875,-0.375,9
0,0.10256410256410256,0.13043478260869565,0.0641025641025641,0.09090909090909091,2.0,1.875,1,3,3,3,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0.875,1.0,0.125,0.375,-2
1,0.05982905982905983,0.043478260869565216,0.10256410256410256,0.16883116883116883,1.0,0.5,3,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,1,0,-0.125,-1.0,0.5,0.625,1
2,0.06837606837606838,0.08695652173913043,0.21794871794871795,0.22077922077922077,0.7777777777777778,1.3333333333333333,1,1,1,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,-1.0,-0.7777777777777778,-0.5555555555555556,-0.3333333333333333,1
1,0.06837606837606838,0.06956521739130435,0.20512820512820512,0.15584415584415584,0.5555555555555556,1.2222222222222223,0,0,1,1,1,1,3,3,1,0,0,0,1,0,0,0,0,0,-0.8888888888888888,-0.4444444444444444,-0.6666666666666666,-0.5555555555555556,-1
2,0.02564102564102564,0.12173913043478261,0.08974358974358974,0.11688311688311688,0.6666666666666666,1.4444444444444444,1,3,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,-0.4444444444444444,0.5555555555555556,-0.7777777777777778,-0.4444444444444444,-9
0,0.1452991452991453,0.1565217391304348,0.10256410256410256,0.025974025974025976,2.0,2.0,3,0,0,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,1.0,1.7777777777777777,0.0,0.0,6
2,0.06837606837606838,0.08695652173913043,0.15384615384615385,0.1038961038961039,1.0,1.1111111111111112,0,3,3,1,1,3,0,3,1,3,0,0,0,0,0,0,0,0,-0.4444444444444444,0.2222222222222222,-0.1111111111111111,-0.3333333333333333,-10
2,0.10256410256410256,0.06086956521739131,0.05128205128205128,0.06493506493506493,1.7777777777777777,1.3333333333333333,3,0,1,3,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.2222222222222222,0.4444444444444444,0.3333333333333333,-1
2,0.1452991452991453,0.09565217391304348,0.14102564102564102,0.09090909090909091,2.0,1.4444444444444444,3,1,3,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333,-17
0,0.05128205128205128,0.05217391304347826,0.19230769230769232,0.11688311688311688,0.6666666666666666,0.6666666666666666,1,3,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,-1.0,-0.3333333333333333,0.0,0.0,2
1,0.05128205128205128,0.11304347826086956,0.16666666666666666,0.09090909090909091,0.5555555555555556,1.7777777777777777,1,1,1,3,1,1,1,3,3,3,0,0,0,0,1,0,0,0,-0.7777777777777778,0.6666666666666666,-1.2222222222222223,-0.6666666666666666,12
2,0.08547008547008547,0.08695652173913043,0.15384615384615385,0.14285714285714285,0.8888888888888888,1.0,0,3,0,1,1,0,3,1,1,3,0,0,0,0,0,0,0,0,-0.2222222222222222,-0.1111111111111111,-0.1111111111111111,-0.2222222222222222,-11
1,0.11965811965811966,0.12173913043478261,0.14102564102564102,0.06493506493506493,1.3,1.9,1,0,0,3,3,3,3,0,1,3,0,0,0,0,0,0,0,0,0.3,0.9,-0.6,-0.2,15
0,0.08547008547008547,0.17391304347826086,0.16666666666666666,0.15584415584415584,1.0,2.1,1,3,0,3,1,3,3,1,3,1,0,0,0,0,0,0,0,0,-0.3,0.8,-1.1,-0.2,14
2,0.1794871794871795,0.05217391304347826,0.038461538461538464,0.16883116883116883,2.1,0.6,3,3,0,0,3,0,1,1,1,3,0,0,0,0,0,0,0,0,1.8,-0.7,1.5,0.7,-16
0,0.08547008547008547,0.1565217391304348,0.11538461538461539,0.14285714285714285,0.9,1.8,3,1,1,0,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0.1,0.7,-0.9,-0.1,4
2,0.06837606837606838,0.05217391304347826,0.08974358974358974,0.24675324675324675,1.2,0.6,1,3,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0.1,-1.3,0.6,0.2,-10
2,0.1111111111111111,0.11304347826086956,0.08974358974358974,0.15584415584415584,1.7,1.2,0,1,1,3,3,3,0,3,3,1,0,0,0,0,0,0,0,0,0.6,0.1,0.5,-0.3,1
1,0.08547008547008547,0.0782608695652174,0.2564102564102564,0.22077922077922077,1.2,0.6,1,3,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,-1.0,-0.8,0.6,0.3,-7
0,0.07692307692307693,0.11304347826086956,0.16666666666666666,0.15584415584415584,1.2,1.1,0,1,3,3,1,3,0,3,0,1,0,0,0,0,0,0,0,0,-0.4,0.1,0.1,-0.1,11
2,0.08547008547008547,0.043478260869565216,0.1794871794871795,0.09090909090909091,0.9,0.9,1,0,3,1,1,3,1,3,0,1,0,0,0,0,0,0,0,0,-0.4,-0.2,0.0,-0.3,9
2,0.10256410256410256,0.09565217391304348,0.1282051282051282,0.22077922077922077,1.3,1.0,1,0,3,0,0,3,1,1,1,3,0,0,0,0,0,0,0,0,0.2,-0.6,0.3,0.0,7
2,0.05982905982905983,0.10434782608695652,0.20512820512820512,0.15584415584415584,0.5454545454545454,0.8181818181818182,1,0,1,1,1,1,3,1,1,0,0,0,1,0,0,0,0,0,-0.8181818181818182,0.0,-0.2727272727272727,-0.2727272727272727,6
1,0.05128205128205128,0.13043478260869565,0.28205128205128205,0.15584415584415584,0.5454545454545454,1.2727272727272727,1,1,1,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,-1.4545454545454546,0.2727272727272727,-0.7272727272727273,-0.2727272727272727,-4
0,0.042735042735042736,0.08695652173913043,0.10256410256410256,0.2077922077922078,0.8181818181818182,1.0909090909090908,1,3,1,3,0,1,0,1,3,3,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.5454545454545454,-0.2727272727272727,0.0,-9
0,0.1794871794871795,0.09565217391304348,0.16666666666666666,0.09090909090909091,1.9090909090909092,1.3636363636363635,3,1,3,0,0,3,1,3,1,3,0,0,0,0,0,0,0,0,0.7272727272727273,0.36363636363636365,0.5454545454545454,-0.09090909090909091,4
2,0.09401709401709402,0.08695652173913043,0.23076923076923078,0.23376623376623376,0.9090909090909091,0.6363636363636364,1,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.6363636363636364,-0.7272727272727273,0.2727272727272727,-0.09090909090909091,-6
2,0.1111111111111111,0.08695652173913043,0.1282051282051282,0.19480519480519481,1.4545454545454546,0.9090909090909091,3,1,0,3,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0.2727272727272727,-0.45454545454545453,0.5454545454545454,0.09090909090909091,3
2,0.13675213675213677,0.09565217391304348,0.16666666666666666,0.2727272727272727,1.2727272727272727,1.1818181818181819,3,3,0,3,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0.2727272727272727,-0.9090909090909091,0.09090909090909091,0.6363636363636364,-3
2,0.1282051282051282,0.09565217391304348,0.07692307692307693,0.18181818181818182,1.8181818181818181,1.0909090909090908,0,3,3,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0.8181818181818182,-0.2727272727272727,0.7272727272727273,0.09090909090909091,-15
2,0.18803418803418803,0.13043478260869565,0.15384615384615385,0.1038961038961039,2.1818181818181817,1.8181818181818181,3,3,3,1,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0.9090909090909091,0.6363636363636364,0.36363636363636365,0.45454545454545453,-5
2,0.11965811965811966,0.20869565217391303,0.1794871794871795,0.05194805194805195,1.0909090909090908,2.1818181818181817,1,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0.0,1.8181818181818181,-1.0909090909090908,-0.09090909090909091,3
2,0.13675213675213677,0.19130434782608696,0.16666666666666666,0.23376623376623376,1.25,1.75,0,0,1,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0.25,0.3333333333333333,-0.5,-0.25,10
2,0.10256410256410256,0.043478260869565216,0.2948717948717949,0.11688311688311688,1.0833333333333333,0.75,1,0,1,3,1,1,1,3,1,3,0,0,0,0,0,0,0,0,-0.9166666666666666,-0.3333333333333333,0.3333333333333333,-0.16666666666666666,1
0,0.2222222222222222,0.21739130434782608,0.08974358974358974,0.15584415584415584,2.0,2.25,1,3,3,3,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1.5833333333333333,1.0833333333333333,-0.25,-0.16666666666666666,1
2,0.10256410256410256,0.14782608695652175,0.1794871794871795,0.2077922077922078,0.75,1.25,1,1,3,1,1,3,1,3,0,3,0,0,0,0,0,0,0,0,-0.16666666666666666,0.08333333333333333,-0.5,-0.5833333333333334,7
1,0.13675213675213677,0.0782608695652174,0.10256410256410256,0.2077922077922078,1.5,0.75,3,3,1,3,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0.6666666666666666,-0.5833333333333334,0.75,0.4166666666666667,-14
2,0.09401709401709402,0.1565217391304348,0.2564102564102564,0.18181818181818182,0.5833333333333334,1.4166666666666667,1,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,-0.75,0.3333333333333333,-0.8333333333333334,-0.75,10
0,0.09401709401709402,0.1391304347826087,0.20512820512820512,0.07792207792207792,1.25,1.9166666666666667,3,1,0,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,-0.4166666666666667,0.8333333333333334,-0.6666666666666666,-0.3333333333333333,15
0,0.09401709401709402,0.06086956521739131,0.19230769230769232,0.2987012987012987,1.0,0.5833333333333334,1,3,1,0,3,0,1,1,1,3,0,0,0,0,0,0,0,0,-0.3333333333333333,-1.3333333333333333,0.4166666666666667,0.25,4
1,0.1282051282051282,0.1391304347826087,0.14102564102564102,0.14285714285714285,1.6666666666666667,1.5833333333333333,1,3,0,1,1,3,3,1,0,3,0,0,0,0,0,0,0,0,0.3333333333333333,0.4166666666666667,0.08333333333333333,-0.5,-12
1,0.09401709401709402,0.11304347826086956,0.23076923076923078,0.24675324675324675,0.8333333333333334,1.0833333333333333,1,1,1,3,0,3,1,3,1,1,0,0,0,0,0,0,0,0,-0.5833333333333334,-0.5,-0.25,-0.16666666666666666,4
0,0.08547008547008547,0.09565217391304348,0.2948717948717949,0.22077922077922077,0.7692307692307693,1.1538461538461537,3,0,1,1,1,1,3,1,0,1,0,0,1,0,0,0,0,0,-1.0,-0.46153846153846156,-0.38461538461538464,0.0,-4
2,0.1452991452991453,0.12173913043478261,0.07692307692307693,0.2987012987012987,2.0,1.2307692307692308,3,3,0,3,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0.8461538461538461,-0.6923076923076923,0.7692307692307693,0.46153846153846156,-7
